value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
value,description
1,Yes
0,No
99,Unknow
